question,correct_answer,student_answer,label,processed_correct_answer,processed_student_answer
What is photosynthesis?,Photosynthesis is the process by which plants make food using sunlight.,Photosynthesis is how animals get energy.,0,photosynthesis process plants make food using sunlight,photosynthesis animals get energy
What is the smallest bone in the human body?,The smallest bone in the human body is the stapes.,The stapes is the smallest bone.,1,smallest bone human body stapes,stapes smallest bone
What is an antonym for 'happy'?,An antonym for 'happy' is 'sad'.,'Joyful' is the opposite of 'happy'.,0,antonym,opposite
What is the boiling point of water?,The boiling point of water is 100 degrees Celsius.,Water boils at 100 degrees Celsius.,1,boiling point water 100 degrees celsius,water boils 100 degrees celsius
What is the capital of Russia?,The capital of Russia is Moscow.,The capital city of Russia is Moscow.,1,capital russia moscow,capital city russia moscow
What is the formula for the area of a rectangle?,The formula for the area of a rectangle is length x width.,Area of a rectangle is length plus width.,0,formula area rectangle length x width,area rectangle length plus width
What is a verb?,A verb is a word that describes an action state or occurrence.,A noun names objects.,0,verb word describes action state occurrence,noun names objects
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.,Sahara is the largest desert.,1,largest desert world sahara desert,sahara largest desert
What is the capital of India?,The capital of India is New Delhi.,India's capital city is New Delhi.,1,capital india new delhi,india capital city new delhi
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Water freezes at 0 degrees Celsius.,1,freezing point water 0 degrees celsius,water freezes 0 degrees celsius
What is the capital of India?,The capital of India is New Delhi.,New Delhi is India's capital.,1,capital india new delhi,new delhi india capital
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The theorem states a² + b² = c².,1,pythagorean theorem states a² b² c²,theorem states a² b² c²
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,Light travels at 300000 km/s.,1,speed light approximately 300000 kilometers per second,light travels 300000
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,Vincent van Gogh painted the Mona Lisa.,0,mona lisa painted leonardo da vinci,vincent van gogh painted mona lisa
What is the capital of Canada?,The capital of Canada is Ottawa.,Ottawa is the capital city of Canada.,1,capital canada ottawa,ottawa capital city canada
What is the boiling point of water in Fahrenheit?,The boiling point of water is 212 degrees Fahrenheit.,At 212°F water reaches its boiling point.,1,boiling point water 212 degrees fahrenheit,water reaches boiling point
What is the chemical symbol for Gold?,The chemical symbol for Gold is Au.,Gold is represented by the symbol Au.,1,chemical symbol gold au,gold represented symbol au
What is the capital of France?,The capital of France is Paris.,Berlin is the capital of France.,0,capital france paris,berlin capital france
What is the capital of Japan?,The capital of Japan is Tokyo.,The capital city of Japan is Tokyo.,1,capital japan tokyo,capital city japan tokyo
What is the third planet from the Sun?,The third planet from the Sun is Earth.,Earth is the third planet from the Sun.,1,third planet sun earth,earth third planet sun
What is a pronoun?,A pronoun replaces a noun.,A pronoun is a describing word.,0,pronoun replaces noun,pronoun describing word
What does DNA stand for?,DNA stands for Deoxyribonucleic Acid.,Deoxyribonucleic Acid is the full form of DNA.,1,dna stands deoxyribonucleic acid,deoxyribonucleic acid full form dna
Who wrote '1984'?,'1984' was written by George Orwell.,The author of '1984' is George Orwell.,1,written george orwell,author george orwell
What is the capital of Russia?,The capital of Russia is Moscow.,Moscow is Russia's capital.,1,capital russia moscow,moscow russia capital
What is the boiling point of water in Fahrenheit?,The boiling point of water is 212 degrees Fahrenheit.,Water boils at 212°F.,1,boiling point water 212 degrees fahrenheit,water boils
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Water freezes at 0 degrees Celsius.,1,freezing point water 0 degrees celsius,water freezes 0 degrees celsius
What is a habitat?,A habitat is the natural home of an organism.,A habitat is where plants are grown artificially.,0,habitat natural home organism,habitat plants grown artificially
What is the smallest prime number?,The smallest prime number is 2.,Two is the smallest prime number.,1,smallest prime number 2,two smallest prime number
What is the boiling point of water?,The boiling point of water is 100 degrees Celsius.,Water boils at 200 degrees Celsius.,0,boiling point water 100 degrees celsius,water boils 200 degrees celsius
What is the capital of Russia?,The capital of Russia is Moscow.,St. Petersburg is Russia's capital.,0,capital russia moscow,petersburg russia capital
What is an adjective?,An adjective is a word that describes a noun.,Adjectives describe qualities of a noun.,1,adjective word describes noun,adjectives describe qualities noun
What is the largest continent?,The largest continent is Asia.,Africa is the largest continent.,0,largest continent asia,africa largest continent
What is the capital of India?,The capital of India is New Delhi.,New Delhi is India's capital.,1,capital india new delhi,new delhi india capital
What is the smallest country in the world?,The smallest country in the world is Vatican City.,Monaco is the smallest country.,0,smallest country world vatican city,monaco smallest country
What is the capital of Japan?,The capital of Japan is Tokyo.,Kyoto is the capital of Japan.,0,capital japan tokyo,kyoto capital japan
What is an adjective?,An adjective is a word that describes a noun.,An adjective is a verb.,0,adjective word describes noun,adjective verb
What is the boiling point of water in Fahrenheit?,The boiling point of water is 212 degrees Fahrenheit.,Water boils at 100°F.,0,boiling point water 212 degrees fahrenheit,water boils
What is the largest continent?,The largest continent is Asia.,Africa is the largest continent.,0,largest continent asia,africa largest continent
What is a polygon?,A polygon is a closed figure with straight sides.,A polygon has curved sides and is an open shape.,0,polygon closed figure straight sides,polygon curved sides open shape
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,A metaphor uses 'like' or 'as'.,0,metaphor figure speech one thing said another,metaphor uses
What is the sum of angles in a triangle?,The sum of angles in a triangle is 180 degrees.,A triangle's angles add up to 360 degrees.,0,sum angles triangle 180 degrees,triangle angles add 360 degrees
What is a noun?,A noun is a word that names a person place thing or idea.,A noun refers to an object or idea.,1,noun word names person place thing idea,noun refers object idea
Who discovered gravity?,Gravity was discovered by Isaac Newton.,Albert Einstein discovered gravity.,0,gravity discovered isaac newton,albert einstein discovered gravity
What is the genre of 'To Kill a Mockingbird'?,The genre of 'To Kill a Mockingbird' is fiction.,'To Kill a Mockingbird' is a fiction novel.,1,genre kill mockingbird fiction,kill mockingbird fiction novel
What is the third planet from the Sun?,The third planet from the Sun is Earth.,Mars is the third planet from the Sun.,0,third planet sun earth,mars third planet sun
What is the formula for the area of a triangle?,The formula for the area of a triangle is 1/2 x base x height.,To find a triangle's area multiply 1/2 by its base and height.,1,formula area triangle x base x height,find triangle area multiply base height
What is the largest planet in the Solar System?,The largest planet in the Solar System is Jupiter.,Jupiter is the largest planet in the Solar System.,1,largest planet solar system jupiter,jupiter largest planet solar system
Who invented the telephone?,The telephone was invented by Alexander Graham Bell.,Alexander Graham Bell invented the telephone.,1,telephone invented alexander graham bell,alexander graham bell invented telephone
What is the chemical formula for water?,The chemical formula for water is H2O.,H2O is the formula for water.,1,chemical formula water h2o,h2o formula water
What is the smallest bone in the human body?,The smallest bone in the human body is the stapes.,The femur is the smallest bone.,0,smallest bone human body stapes,femur smallest bone
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.,The Sahara Desert is the largest in the world.,1,largest desert world sahara desert,sahara desert largest world
Who discovered electricity?,Electricity was discovered by Benjamin Franklin.,Thomas Edison discovered electricity.,0,electricity discovered benjamin franklin,thomas edison discovered electricity
What is the chemical symbol for Iron?,The chemical symbol for Iron is Fe.,The symbol Fe represents Iron.,1,chemical symbol iron fe,symbol fe represents iron
What is the capital of Australia?,The capital of Australia is Canberra.,Sydney is the capital of Australia.,0,capital australia canberra,sydney capital australia
What is the capital of Australia?,The capital of Australia is Canberra.,Canberra is Australia's capital.,1,capital australia canberra,canberra australia capital
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The theorem states that a² + b² equals c².,1,pythagorean theorem states a² b² c²,theorem states a² b² equals c²
What is the third planet from the Sun?,The third planet from the Sun is Earth.,Mars is the third planet from the Sun.,0,third planet sun earth,mars third planet sun
What is the main ingredient in bread?,The main ingredient in bread is flour.,Bread is made with flour.,1,main ingredient bread flour,bread made flour
What is the third planet from the Sun?,The third planet from the Sun is Earth.,Mars is the third planet from the Sun.,0,third planet sun earth,mars third planet sun
What is the third planet from the Sun?,The third planet from the Sun is Earth.,Earth is the third planet from the Sun.,1,third planet sun earth,earth third planet sun
What is a noun?,A noun is a word that names a person place thing or idea.,A noun names a person or thing.,1,noun word names person place thing idea,noun names person thing
What is the capital of Russia?,The capital of Russia is Moscow.,St. Petersburg is Russia's capital.,0,capital russia moscow,petersburg russia capital
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Water freezes at 0 degrees Celsius.,1,freezing point water 0 degrees celsius,water freezes 0 degrees celsius
What does DNA stand for?,DNA stands for Deoxyribonucleic Acid.,DNA stands for Dynamic Nucleic Acid.,0,dna stands deoxyribonucleic acid,dna stands dynamic nucleic acid
What is photosynthesis?,Photosynthesis is the process by which plants make food using sunlight.,Photosynthesis is how animals get energy.,0,photosynthesis process plants make food using sunlight,photosynthesis animals get energy
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.,The Sahara is the largest desert.,1,largest desert world sahara desert,sahara largest desert
Who discovered gravity?,Gravity was discovered by Isaac Newton.,The discovery of gravity is attributed to Isaac Newton.,1,gravity discovered isaac newton,discovery gravity attributed isaac newton
Who painted the Sistine Chapel ceiling?,The Sistine Chapel ceiling was painted by Michelangelo.,Leonardo da Vinci painted the Sistine Chapel ceiling.,0,sistine chapel ceiling painted michelangelo,leonardo da vinci painted sistine chapel ceiling
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,HCl stands for Hydrogen Carbonate.,0,hcl stands hydrochloric acid,hcl stands hydrogen carbonate
What is the function of the kidneys?,The kidneys filter waste from the blood.,The kidneys pump blood through the body.,0,kidneys filter waste blood,kidneys pump blood body
What is photosynthesis?,Photosynthesis is the process by which plants make food using sunlight.,Photosynthesis is how animals eat.,0,photosynthesis process plants make food using sunlight,photosynthesis animals eat
What is the smallest country in the world?,The smallest country in the world is Vatican City.,Vatican City is the smallest country.,1,smallest country world vatican city,vatican city smallest country
What is a pronoun?,A pronoun replaces a noun.,A pronoun is a word like 'he' or 'she'.,1,pronoun replaces noun,pronoun word like
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,HCl is short for Hydrochloric Acid.,1,hcl stands hydrochloric acid,hcl short hydrochloric acid
What is an adjective?,An adjective is a word that describes a noun.,An adjective modifies a noun.,1,adjective word describes noun,adjective modifies noun
What is the boiling point of water in Fahrenheit?,The boiling point of water is 212 degrees Fahrenheit.,Water boils at 212°F.,1,boiling point water 212 degrees fahrenheit,water boils
What is the chemical symbol for Iron?,The chemical symbol for Iron is Fe.,Iron is represented by the symbol Fe.,1,chemical symbol iron fe,iron represented symbol fe
What is the capital of Canada?,The capital of Canada is Ottawa.,Toronto is the capital of Canada.,0,capital canada ottawa,toronto capital canada
What is a pronoun?,A pronoun replaces a noun.,A pronoun is a word like 'he' or 'she'.,1,pronoun replaces noun,pronoun word like
What is the capital of Canada?,The capital of Canada is Ottawa.,Toronto is Canada's capital.,0,capital canada ottawa,toronto canada capital
What is the capital of India?,The capital of India is New Delhi.,Mumbai is India's capital.,0,capital india new delhi,mumbai india capital
What is the process of water changing to vapor called?,The process of water changing to vapor is called evaporation.,Condensation is when water turns into vapor.,0,process water changing vapor called evaporation,condensation water turns vapor
What is the name of our galaxy?,Our galaxy is called the Milky Way.,The Andromeda galaxy is where we live.,0,galaxy called milky way,andromeda galaxy live
What is the capital of France?,The capital of France is Paris.,Paris is the capital of France.,1,capital france paris,paris capital france
What is the capital of India?,The capital of India is New Delhi.,New Delhi is India's capital.,1,capital india new delhi,new delhi india capital
What is the freezing point of water in Fahrenheit?,The freezing point of water is 32 degrees Fahrenheit.,Water freezes at 32°F.,1,freezing point water 32 degrees fahrenheit,water freezes
What is the process of water changing to vapor called?,The process of water changing to vapor is called evaporation.,Evaporation is when water turns into vapor.,1,process water changing vapor called evaporation,evaporation water turns vapor
What does DNA stand for?,DNA stands for Deoxyribonucleic Acid.,DNA is short for Deoxyribonucleic Acid.,1,dna stands deoxyribonucleic acid,dna short deoxyribonucleic acid
Who discovered gravity?,Gravity was discovered by Isaac Newton.,Albert Einstein discovered gravity.,0,gravity discovered isaac newton,albert einstein discovered gravity
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Water freezes at 100 degrees Celsius.,0,freezing point water 0 degrees celsius,water freezes 100 degrees celsius
What is the boiling point of water?,The boiling point of water is 100 degrees Celsius.,At 100°C water reaches its boiling point.,1,boiling point water 100 degrees celsius,water reaches boiling point
What is the name of our galaxy?,Our galaxy is called the Milky Way.,The Milky Way is the name of our galaxy.,1,galaxy called milky way,milky way name galaxy
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The theorem states that a² + b² equals c².,1,pythagorean theorem states a² b² c²,theorem states a² b² equals c²
What is an adjective?,An adjective is a word that describes a noun.,An adjective describes a noun.,1,adjective word describes noun,adjective describes noun
What is photosynthesis?,Photosynthesis is the process by which plants make food using sunlight.,Photosynthesis helps plants produce food.,1,photosynthesis process plants make food using sunlight,photosynthesis helps plants produce food
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,HCl stands for Hydrogen Carbonate.,0,hcl stands hydrochloric acid,hcl stands hydrogen carbonate
What is a triangle?,A triangle is a polygon with three sides.,A triangle is a square.,0,triangle polygon three sides,triangle square
What is the chemical formula for water?,The chemical formula for water is H2O.,Water is made of H2O.,1,chemical formula water h2o,water made h2o
Who wrote 'Hamlet'?,'Hamlet' was written by William Shakespeare.,William Shakespeare wrote 'Hamlet'.,1,written william shakespeare,william shakespeare wrote
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,Metaphors describe symbolic relationships.,1,metaphor figure speech one thing said another,metaphors describe symbolic relationships
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.,The Gobi Desert is the largest.,0,largest desert world sahara desert,gobi desert largest
What is the largest ocean?,The largest ocean is the Pacific Ocean.,The Pacific Ocean is the largest ocean.,1,largest ocean pacific ocean,pacific ocean largest ocean
Who painted the Sistine Chapel ceiling?,The Sistine Chapel ceiling was painted by Michelangelo.,Michelangelo is the artist behind the Sistine Chapel ceiling.,1,sistine chapel ceiling painted michelangelo,michelangelo artist behind sistine chapel ceiling
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,HCl is Hydrogen Chloride.,0,hcl stands hydrochloric acid,hcl hydrogen chloride
What is the largest ocean?,The largest ocean is the Pacific Ocean.,The Atlantic Ocean is the largest ocean.,0,largest ocean pacific ocean,atlantic ocean largest ocean
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,A metaphor compares two things indirectly.,1,metaphor figure speech one thing said another,metaphor compares two things indirectly
What is the largest planet in the Solar System?,The largest planet in the Solar System is Jupiter.,The planet Jupiter is the largest.,1,largest planet solar system jupiter,planet jupiter largest
What is the boiling point of water?,The boiling point of water is 100 degrees Celsius.,Water boils at 100 degrees Celsius.,1,boiling point water 100 degrees celsius,water boils 100 degrees celsius
What is the largest planet in the Solar System?,The largest planet in the Solar System is Jupiter.,Mars is the largest planet.,0,largest planet solar system jupiter,mars largest planet
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,Hydrochloric Acid is the full form of HCl.,1,hcl stands hydrochloric acid,hydrochloric acid full form hcl
What is a pronoun?,A pronoun replaces a noun.,A pronoun is a describing word.,0,pronoun replaces noun,pronoun describing word
What is a habitat?,A habitat is the natural home of an organism.,A habitat is where plants are grown artificially.,0,habitat natural home organism,habitat plants grown artificially
What is the capital of Russia?,The capital of Russia is Moscow.,Moscow is Russia's capital.,1,capital russia moscow,moscow russia capital
What is the freezing point of water in Fahrenheit?,The freezing point of water is 32 degrees Fahrenheit.,Water freezes at 32°F.,1,freezing point water 32 degrees fahrenheit,water freezes
What is the boiling point of water?,The boiling point of water is 100 degrees Celsius.,At 100°C water reaches its boiling point.,1,boiling point water 100 degrees celsius,water reaches boiling point
Who wrote '1984'?,'1984' was written by George Orwell.,The author of '1984' is George Orwell.,1,written george orwell,author george orwell
Who invented the telephone?,The telephone was invented by Alexander Graham Bell.,Thomas Edison invented the telephone.,0,telephone invented alexander graham bell,thomas edison invented telephone
What is the freezing point of water in Fahrenheit?,The freezing point of water is 32 degrees Fahrenheit.,Water freezes at 0°F.,0,freezing point water 32 degrees fahrenheit,water freezes
What does DNA stand for?,DNA stands for Deoxyribonucleic Acid.,Deoxyribonucleic Acid is the full form of DNA.,1,dna stands deoxyribonucleic acid,deoxyribonucleic acid full form dna
What is a habitat?,A habitat is the natural home of an organism.,A habitat is where an organism lives.,1,habitat natural home organism,habitat organism lives
What is the smallest prime number?,The smallest prime number is 2.,One is the smallest prime number.,0,smallest prime number 2,one smallest prime number
What is the capital of Japan?,The capital of Japan is Tokyo.,Tokyo is Japan's capital.,1,capital japan tokyo,tokyo japan capital
What is the chemical symbol for Iron?,The chemical symbol for Iron is Fe.,Iron's symbol is Ir.,0,chemical symbol iron fe,iron symbol ir
Who discovered gravity?,Gravity was discovered by Isaac Newton.,Albert Einstein discovered gravity.,0,gravity discovered isaac newton,albert einstein discovered gravity
What does DNA stand for?,DNA stands for Deoxyribonucleic Acid.,DNA is Deoxyribonucleic Acid.,1,dna stands deoxyribonucleic acid,dna deoxyribonucleic acid
What is the hardest natural substance on Earth?,The hardest natural substance on Earth is diamond.,Gold is the hardest natural material.,0,hardest natural substance earth diamond,gold hardest natural material
What is the square root of 64?,The square root of 64 is 8.,Eight is the square root of 64.,1,square root 64 8,eight square root 64
What is the largest planet in the Solar System?,The largest planet in the Solar System is Jupiter.,Jupiter is the largest planet in the Solar System.,1,largest planet solar system jupiter,jupiter largest planet solar system
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,A metaphor compares things symbolically.,1,metaphor figure speech one thing said another,metaphor compares things symbolically
What is a noun?,A noun is a word that names a person place thing or idea.,A noun refers to an object or idea.,1,noun word names person place thing idea,noun refers object idea
What is a preposition?,A preposition shows the relationship between a noun and another word.,A preposition indicates location or time.,1,preposition shows relationship noun another word,preposition indicates location time
Who painted the Sistine Chapel ceiling?,The Sistine Chapel ceiling was painted by Michelangelo.,Michelangelo painted the Sistine Chapel ceiling.,1,sistine chapel ceiling painted michelangelo,michelangelo painted sistine chapel ceiling
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,A metaphor uses 'like' or 'as'.,0,metaphor figure speech one thing said another,metaphor uses
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.,The Gobi Desert is the largest.,0,largest desert world sahara desert,gobi desert largest
What is a verb?,A verb is a word that describes an action state or occurrence.,A noun names an object.,0,verb word describes action state occurrence,noun names object
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The primary function of lungs is to facilitate gas exchange.,1,lungs help breathing exchanging oxygen carbon dioxide,primary function lungs facilitate gas exchange
What is the chemical formula for water?,The chemical formula for water is H2O.,The formula for water is CO2.,0,chemical formula water h2o,formula water co2
What is the largest continent?,The largest continent is Asia.,The largest continent is Asia.,1,largest continent asia,largest continent asia
What is a noun?,A noun is a word that names a person place thing or idea.,A noun describes an action.,0,noun word names person place thing idea,noun describes action
What is the capital of Italy?,The capital of Italy is Rome.,Venice is the capital of Italy.,0,capital italy rome,venice capital italy
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.,The Gobi is the largest desert.,0,largest desert world sahara desert,gobi largest desert
What is an antonym for 'happy'?,An antonym for 'happy' is 'sad'.,'Sad' is the opposite of 'happy'.,1,antonym,opposite
What is the largest planet in the Solar System?,The largest planet in the Solar System is Jupiter.,The planet Jupiter is the largest.,1,largest planet solar system jupiter,planet jupiter largest
What is the result of 5 x 6?,The result of 5 x 6 is 30.,5 multiplied by 6 equals 30.,1,result 5 x 6 30,5 multiplied 6 equals 30
What is the function of the kidneys?,The kidneys filter waste from the blood.,Kidneys filter blood and remove waste.,1,kidneys filter waste blood,kidneys filter blood remove waste
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,The speed of light is roughly 300000 kilometers per second.,1,speed light approximately 300000 kilometers per second,speed light roughly 300000 kilometers per second
What is the function of the heart?,The heart pumps blood throughout the body.,The heart filters blood.,0,heart pumps blood throughout body,heart filters blood
What is the smallest prime number?,The smallest prime number is 2.,2 is the smallest prime.,1,smallest prime number 2,2 smallest prime
What is the smallest ocean?,The smallest ocean is the Arctic Ocean.,The Pacific Ocean is the smallest.,0,smallest ocean arctic ocean,pacific ocean smallest
What is the freezing point of water in Fahrenheit?,The freezing point of water is 32 degrees Fahrenheit.,Water freezes at 0°F.,0,freezing point water 32 degrees fahrenheit,water freezes
What is the process of water changing to vapor called?,The process of water changing to vapor is called evaporation.,Water changes to vapor during evaporation.,1,process water changing vapor called evaporation,water changes vapor evaporation
What is the function of the kidneys?,The kidneys filter waste from the blood.,The kidneys filter and clean the blood.,1,kidneys filter waste blood,kidneys filter clean blood
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Water freezes at 100 degrees Celsius.,0,freezing point water 0 degrees celsius,water freezes 100 degrees celsius
What is the capital of Australia?,The capital of Australia is Canberra.,Australia's capital is Canberra.,1,capital australia canberra,australia capital canberra
What is the square root of 64?,The square root of 64 is 8.,Eight is the square root of 64.,1,square root 64 8,eight square root 64
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,Hydrochloric Acid is the full form of HCl.,1,hcl stands hydrochloric acid,hydrochloric acid full form hcl
What is the square root of 64?,The square root of 64 is 8.,The square root of 64 is 8.,1,square root 64 8,square root 64 8
What is the function of the kidneys?,The kidneys filter waste from the blood.,Kidneys remove waste and toxins from the blood.,1,kidneys filter waste blood,kidneys remove waste toxins blood
What is the boiling point of water in Fahrenheit?,The boiling point of water is 212 degrees Fahrenheit.,Water boils at 100°F.,0,boiling point water 212 degrees fahrenheit,water boils
What is a polygon?,A polygon is a closed figure with straight sides.,A polygon is a shape with straight edges.,1,polygon closed figure straight sides,polygon shape straight edges
What is the name of the first president of the United States?,The first president of the United States is George Washington.,Abraham Lincoln was the first president.,0,first president united states george washington,abraham lincoln first president
Who painted the Sistine Chapel ceiling?,The Sistine Chapel ceiling was painted by Michelangelo.,Michelangelo is the artist behind the Sistine Chapel ceiling.,1,sistine chapel ceiling painted michelangelo,michelangelo artist behind sistine chapel ceiling
What is the chemical formula for water?,The chemical formula for water is H2O.,H2O is the formula for water.,1,chemical formula water h2o,h2o formula water
What is the largest planet in the Solar System?,The largest planet in the Solar System is Jupiter.,Mars is the largest planet.,0,largest planet solar system jupiter,mars largest planet
What is a verb?,A verb is a word that describes an action state or occurrence.,A verb shows an activity.,1,verb word describes action state occurrence,verb shows activity
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,A metaphor uses 'like' or 'as'.,0,metaphor figure speech one thing said another,metaphor uses
What is the function of the heart?,The heart pumps blood throughout the body.,The heart circulates blood in the body.,1,heart pumps blood throughout body,heart circulates blood body
What is the formula for the area of a rectangle?,The formula for the area of a rectangle is length x width.,Area of a rectangle is length plus width.,0,formula area rectangle length x width,area rectangle length plus width
What is a polygon?,A polygon is a closed figure with straight sides.,A polygon is a shape with straight edges.,1,polygon closed figure straight sides,polygon shape straight edges
What is the main ingredient in bread?,The main ingredient in bread is flour.,Bread is made with sugar.,0,main ingredient bread flour,bread made sugar
What is the capital of France?,The capital of France is Paris.,Paris is the capital of France.,1,capital france paris,paris capital france
What is the capital of Japan?,The capital of Japan is Tokyo.,Tokyo is Japan's capital.,1,capital japan tokyo,tokyo japan capital
What is an antonym for 'happy'?,An antonym for 'happy' is 'sad'.,'Sad' is the opposite of 'happy'.,1,antonym,opposite
What is a polygon?,A polygon is a closed figure with straight sides.,A polygon has curved sides and is an open shape.,0,polygon closed figure straight sides,polygon curved sides open shape
Who wrote 'Hamlet'?,'Hamlet' was written by William Shakespeare.,Charles Dickens wrote 'Hamlet'.,0,written william shakespeare,charles dickens wrote
